,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
18405,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1402,7506,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18406,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,825,4563,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18407,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2039,7489,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18408,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1914,8312,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18409,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2018,7355,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18410,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1912,9014,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18411,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1201,5179,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18412,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1559,6334,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18413,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1907,8890,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18414,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2029,7544,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18415,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1927,9284,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18416,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2020,7485,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18417,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1889,8313,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18418,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1828,8183,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18419,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1436,6597,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18420,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1873,7001,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18421,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1728,6704,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18422,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,832,4363,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18423,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,751,4154,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18424,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1935,8545,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18425,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1933,8602,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18426,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1260,5978,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18427,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1957,8647,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18428,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1961,8237,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18429,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1957,8100,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18430,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1901,8156,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18431,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1948,8408,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18432,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1936,8259,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
