,index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,quarry,urls_quarry,num_pages
606,618,msi,MSI Creator Pro M16 B13VI-1273IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),159427,77,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,2,MSI 13th Gen Core i7 ,https://browser.geekbench.com/search?q=MSI+13th+Gen+Core+i7+,1
607,619,msi,MSI Prestige 14H B12UCX-412IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/Win11 Home/ 4GB Graphic),89990,71,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,14.0,1920,1200,windows,2,MSI 12th Gen Core i5 ,https://browser.geekbench.com/search?q=MSI+12th+Gen+Core+i5+,0
608,620,dell,Dell Alienware M18 R1 2023 Gaming Laptop (13th Gen Core i9/ 64GB/ 1TB SSD/ Win 11/ 16GB Graph),450990,83,intel,core i9,24,32,4,SSD,1024,No secondary storage,0,nvidia,dedicated,False,18.0,3200,1800,windows,1,Dell 13th Gen Core i9 ,https://browser.geekbench.com/search?q=Dell+13th+Gen+Core+i9+,14
609,621,hp,HP 15s-fy5005TU Laptop (12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),43735,56,intel,core i3,6,8,8,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 12th Gen Core i3 ,https://browser.geekbench.com/search?q=HP+12th+Gen+Core+i3+,1
610,622,lenovo,Lenovo Yoga 6 83B2005TIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),74990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,13.3,1920,1200,windows,3,Lenovo AMD Ryzen 5 7530U ,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+5+7530U+,21
611,623,asus,Asus Vivobook 16X 2023 K3605ZF-MBN543WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),64990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1,Asus 12th Gen Core i5 ,https://browser.geekbench.com/search?q=Asus+12th+Gen+Core+i5+,17
612,624,asus,Asus Vivobook 16X 2023 K3605ZF-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),89000,75,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1,Asus 12th Gen Core i7 ,https://browser.geekbench.com/search?q=Asus+12th+Gen+Core+i7+,20
613,625,lenovo,Lenovo IdeaPad Flex 5 82R900D9IN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),64990,72,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1,Lenovo AMD Ryzen 7 5700U ,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7+5700U+,64
614,626,hp,HP 15s-fy5004TU Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),43400,57,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 12th Gen Core i3 ,https://browser.geekbench.com/search?q=HP+12th+Gen+Core+i3+,1
615,627,lenovo,Lenovo IdeaPad Slim 3 82XQ008GIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),40590,57,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1,Lenovo AMD Ryzen 5 7520U ,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+5+7520U+,7
616,628,asus,Asus Vivobook Pro 15 M6500QC-LK542WS Laptop (AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),70000,70,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1,Asus AMD R5 5600H ,https://browser.geekbench.com/search?q=Asus+AMD+R5+5600H+,0
617,629,asus,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),141989,82,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1,Asus 12th Gen Core i7 ,https://browser.geekbench.com/search?q=Asus+12th+Gen+Core+i7+,20
618,630,lg,LG Gram 14 2023 14Z90R-G.CH54A2 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),98999,67,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1200,1920,windows,1,LG 13th Gen Core i5 ,https://browser.geekbench.com/search?q=LG+13th+Gen+Core+i5+,2
619,631,dell,Dell Alienware m16 Gaming Laptop (AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph),299990,89,amd,ryzen 9,12,24,32,SSD,2048,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1,Dell AMD Ryzen 9 7845HX ,https://browser.geekbench.com/search?q=Dell+AMD+Ryzen+9+7845HX+,0
620,632,acer,Acer Nitro 16 AN16-41 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),129990,80,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1,Acer AMD Ryzen 7 7840HS ,https://browser.geekbench.com/search?q=Acer+AMD+Ryzen+7+7840HS+,7
621,633,lenovo,Lenovo IdeaPad Flex 5 82XX007KIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),65990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1,Lenovo AMD Ryzen 5 7530U ,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+5+7530U+,21
